cell_id,number_of_filtered_gene,number_of_corrected_UMI,UMI_A_percentage,UMI_T_percentage,UMI_G_percentage,UMI_C_percentage
CELL_02200,0,3301,0,0,0,0,
CELL_02199,0,4449,0,0,0,0,
CELL_02196,0,5118,0,0,0,0,
CELL_02195,0,7297,0,0,0,0,
CELL_02191,0,5279,0,0,0,0,
CELL_02190,0,4305,0,0,0,0,
CELL_02187,0,6972,0,0,0,0,
CELL_02186,0,3998,0,0,0,0,
CELL_02183,0,2924,0,0,0,0,
CELL_02180,0,3518,0,0,0,0,
CELL_02179,0,7045,0,0,0,0,
CELL_02177,0,10432,0,0,0,0,
CELL_02175,0,3152,0,0,0,0,
CELL_02174,0,2013,0,0,0,0,
CELL_02173,0,3655,0,0,0,0,
CELL_02172,0,2876,0,0,0,0,
CELL_02170,0,3277,0,0,0,0,
CELL_02169,0,3928,0,0,0,0,
CELL_02168,0,7199,0,0,0,0,
CELL_02164,0,3570,0,0,0,0,
CELL_02159,0,8095,0,0,0,0,
CELL_02157,0,7984,0,0,0,0,
CELL_02155,0,7647,0,0,0,0,
CELL_02154,0,8839,0,0,0,0,
CELL_02185,0,6659,0,0,0,0,
CELL_02153,0,2860,0,0,0,0,
CELL_02152,0,8656,0,0,0,0,
CELL_02151,0,4140,0,0,0,0,
CELL_02150,0,6011,0,0,0,0,
CELL_02149,0,4983,0,0,0,0,
CELL_02148,0,6314,0,0,0,0,
CELL_02147,0,3939,0,0,0,0,
CELL_02146,0,6435,0,0,0,0,
CELL_02145,0,9220,0,0,0,0,
CELL_02143,0,7696,0,0,0,0,
CELL_02142,0,4351,0,0,0,0,
CELL_02141,0,7199,0,0,0,0,
CELL_02139,0,4063,0,0,0,0,
CELL_02138,0,7128,0,0,0,0,
CELL_02137,0,4141,0,0,0,0,
CELL_02136,0,5505,0,0,0,0,
CELL_02134,0,10169,0,0,0,0,
CELL_02132,0,4952,0,0,0,0,
CELL_02130,0,7493,0,0,0,0,
CELL_02128,0,8857,0,0,0,0,
CELL_02126,0,8959,0,0,0,0,
CELL_02121,0,3372,0,0,0,0,
CELL_02120,0,10495,0,0,0,0,
CELL_02117,0,4698,0,0,0,0,
CELL_02115,0,4169,0,0,0,0,
CELL_02114,0,9478,0,0,0,0,
CELL_02108,0,8431,0,0,0,0,
CELL_02107,0,10351,0,0,0,0,
CELL_02106,0,7583,0,0,0,0,
CELL_02105,0,7981,0,0,0,0,
CELL_02103,0,9114,0,0,0,0,
CELL_02102,0,7958,0,0,0,0,
CELL_02100,0,7154,0,0,0,0,
CELL_02099,0,11483,0,0,0,0,
CELL_02095,0,13767,0,0,0,0,
CELL_02093,0,8554,0,0,0,0,
