cell_id,unaligned,aligned_unmapped,mapped_to_exon,mapped_to_intron,ambiguous_mapping,mapped_to_ERCC,mapped_to_MT
CELL_00001,236124,9093,581645,99346,21662,0,33848
CELL_00002,202054,6468,615466,58684,22869,0,20459
CELL_00003,196761,10934,585284,64990,22029,0,19460
CELL_00004,197477,9920,565600,79194,21327,0,14085
CELL_00005,182294,8822,482943,87639,18133,0,20173
CELL_00006,175281,6223,488609,69118,18596,0,12499
CELL_00007,141410,7150,389894,113779,10853,0,12320
CELL_00008,140937,6579,383261,73912,13844,0,21710
CELL_00009,125402,6777,352266,72930,12332,0,8770
CELL_00010,130856,6775,318633,82994,11934,0,20215
CELL_00011,100968,5413,342104,49991,10673,0,13089
CELL_00012,115355,6039,280434,64806,10375,0,12789
CELL_00013,120920,2233,318563,24375,2538,0,1344
CELL_00014,105437,4692,298376,46810,12273,0,9111
CELL_00015,106687,1762,339655,4210,13163,0,32
CELL_00016,101806,1952,333102,4384,13449,0,4
CELL_00017,131028,3137,284756,31481,3856,0,3106
CELL_00018,98449,3301,313679,30664,7634,0,4216
CELL_00019,108708,4131,267838,54685,9653,0,9955
CELL_00020,95338,3554,285686,34777,10495,0,8071
CELL_00021,77726,2878,253265,28046,1832,0,1429
CELL_00022,62413,2594,277535,17365,2979,0,2419
CELL_00023,80262,4820,219420,50734,7107,0,8729
CELL_00024,81273,2741,233300,35395,7570,0,8347
CELL_00025,78983,5307,205745,57533,7981,0,4603
CELL_00026,83243,4553,227164,36005,2999,0,2752
CELL_00027,81237,2843,248733,20067,2459,0,2863
CELL_00028,84921,6671,176455,68059,6153,0,16356
CELL_00029,85280,3909,188866,54103,6229,0,5424
CELL_00030,77312,4861,187726,60371,5259,0,4623
CELL_00031,75041,1976,237517,8132,8974,0,5
CELL_00032,81567,2062,208390,30363,1940,0,1562
CELL_00033,70951,3952,192237,45501,7199,0,4705
CELL_00034,74994,5514,166362,67598,4593,0,4737
CELL_00035,79759,4244,185181,38940,5333,0,4513
CELL_00036,70011,2916,198927,35077,5277,0,4078
CELL_00037,62202,1455,216616,16401,2691,0,1515
CELL_00038,71350,3311,177454,36827,5797,0,5954
CELL_00039,62404,3734,180045,39618,6262,0,10291
CELL_00040,64557,3759,173008,42992,5213,0,4084
CELL_00041,58055,3769,189738,29502,5864,0,6878
CELL_00042,74737,3105,174579,26836,5529,0,3458
CELL_00043,67562,3319,165487,42664,4539,0,2940
CELL_00044,64890,2887,161643,36921,5389,0,7789
CELL_00045,59270,4811,143152,58508,5244,0,5673
CELL_00046,65947,6958,130913,62498,4026,0,4393
CELL_00047,65689,2544,174074,21439,2281,0,1841
CELL_00048,58423,3786,151884,44290,5451,0,6162
CELL_00049,60210,2756,154457,39825,4828,0,5746
CELL_00050,60223,3732,127008,63771,3208,0,6541
CELL_00051,60005,3595,145312,39548,3740,0,4658
CELL_00052,49887,4029,158661,36757,2737,0,4155
CELL_00053,60481,6123,124330,54229,3302,0,3064
CELL_00054,60171,3237,132490,46576,3542,0,6928
CELL_00055,56829,2963,146459,35686,4159,0,4906
CELL_00056,61139,3232,135521,39225,3939,0,6298
CELL_00057,57840,5518,132600,41149,4604,0,11173
CELL_00058,56278,4116,122792,52895,3605,0,2740
CELL_00059,47225,2583,164812,19655,1534,0,1289
CELL_00060,57359,2548,134883,36274,3915,0,4636
CELL_00061,46568,4778,138953,40106,4396,0,2492
CELL_00062,53669,4128,131079,39853,3824,0,4249
CELL_00063,51403,3869,124495,46002,4450,0,3258
CELL_00064,51387,2567,137032,32162,5223,0,3111
CELL_00065,51501,5855,119620,44755,4299,0,2798
CELL_00066,51661,5009,116687,46779,4007,0,2739
